policy_id,run_name,policy_type,checkpoint_step,scenario,scenario_in_distribution,seed,trial_id,steps,falls,first_fall_step,first_fall_time_s,survival_fraction,total_reward,mean_reward,tracking_rmse,command_failure_rate,mean_torso_up,min_torso_up,mean_root_height,min_root_height,mean_horizontal_speed,mean_action_rate_norm,mean_mechanical_power_abs,mean_foot_slip_speed
P02_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_0006_50m_seed7_rew_654p7552_best_654p7552_s,biomechanics,51363840,stand,True,19,P02_auto_xml_standard_no_ref:stand:seed19,500.0,0.0,500.0,10.0,1.0,1195.8271891772747,2.3916543783545494,0.013177017405486545,0.0,0.9961145098209381,0.9903357028961182,1.4738964025974273,1.4158662557601929,0.005826417465978029,6.277861769498788,29.474537915695475,0.10462130026983364
P02_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_0006_50m_seed7_rew_654p7552_best_654p7552_s,biomechanics,51363840,turn,True,7,P02_auto_xml_standard_no_ref:turn:seed7,500.0,2.0,172.0,3.44,0.344,31.41829353501089,0.06283658707002178,0.3119932545255293,0.148,0.9428100234270096,0.8058447241783142,1.4521946595907211,0.8989288210868835,0.1712730135812659,24.405976476786694,171.16427587577815,0.34026938418264624
P02_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_0006_50m_seed7_rew_654p7552_best_654p7552_s,biomechanics,51363840,turn,True,19,P02_auto_xml_standard_no_ref:turn:seed19,500.0,1.0,159.0,3.18,0.318,-123.49096298328368,-0.24698192596656737,0.26494852513930656,0.122,0.8525771490335464,0.49643129110336304,1.4036448094844818,0.8895274996757507,0.17348750570515373,26.36739242816887,172.63914304137194,0.3958348055517458
P03_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_18350_resume_forward_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_0254_80m_seed7_running,biomechanics,53739520,diagonal,False,7,P03_v16_forward_bvh:diagonal:seed7,500.0,5.0,88.0,1.76,0.176,-746.2329484424554,-1.4924658968849107,0.5863974992557783,0.992,0.9247644004821778,0.7574043869972229,1.4112486085891724,0.8590162396430969,0.5060037973969002,26.541865284428344,257.60031565624234,0.5064499675953628
P03_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_18350_resume_forward_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_0254_80m_seed7_running,biomechanics,53739520,diagonal,False,19,P03_v16_forward_bvh:diagonal:seed19,500.0,5.0,106.0,2.12,0.212,-431.82077199593186,-0.8636415439918638,0.5280703748170769,0.984,0.9217684835195541,0.8111739754676819,1.410766188263893,0.8648129105567932,0.5214577243742983,29.088536556826476,281.282086252738,0.5631384307125549
P03_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_18350_resume_forward_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_0254_80m_seed7_running,biomechanics,53739520,forward,True,7,P03_v16_forward_bvh:forward:seed7,500.0,0.0,500.0,10.0,1.0,1204.999084373936,2.409998168747872,0.23970553555343702,0.314,0.9337486004829407,0.8715975284576416,1.4704774765968323,1.4200170040130615,0.3688012043162747,30.90573627881967,201.45788732759416,0.28148808645527423
P03_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_18350_resume_forward_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_0254_80m_seed7_running,biomechanics,53739520,forward,True,19,P03_v16_forward_bvh:forward:seed19,500.0,0.0,500.0,10.0,1.0,1186.322217836976,2.3726444356739522,0.2585529373287401,0.398,0.9368649097681045,0.8775250315666199,1.471919861793518,1.4272630214691162,0.3625440157360058,33.03464573784546,195.68815863792884,0.23991964600302698
P03_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_18350_resume_forward_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_0254_80m_seed7_running,biomechanics,53739520,forward_slow,True,7,P03_v16_forward_bvh:forward_slow:seed7,500.0,0.0,500.0,10.0,1.0,1098.2137741446495,2.196427548289299,0.19250275090902735,0.2,0.9306852412223816,0.8575043678283691,1.4694297380447388,1.4104975461959839,0.25845733052967795,31.752204062344767,188.51746336339974,0.28185544080629915
P03_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_18350_resume_forward_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_0254_80m_seed7_running,biomechanics,53739520,forward_slow,True,19,P03_v16_forward_bvh:forward_slow:seed19,500.0,0.0,500.0,10.0,1.0,983.1657103672624,1.9663314207345248,0.20632747726301964,0.216,0.9324388371706009,0.8340766429901123,1.4683861651420593,1.4022620916366577,0.25713372979683324,33.360046834529406,186.83885866789552,0.25505219617680835
P03_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_18350_resume_forward_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_0254_80m_seed7_running,biomechanics,53739520,lateral,False,7,P03_v16_forward_bvh:lateral:seed7,500.0,2.0,156.0,3.12,0.312,36.272790308110416,0.07254558061622084,0.3404081657970962,0.712,0.9408506605625152,0.8777251243591309,1.455984710931778,0.8869993686676025,0.25253165317500037,24.748815245975297,176.1817990517501,0.3377621644908745
