policy_id,run_name,scenario,actuator,mean_action,mean_abs_action,std_action,saturation_rate,motor_error_rmse,torque_rms,mean_abs_power
P05_v16_standard_bvh,biomechanics_noerfi_nodr_ref_bvh_v10_standard_resume3_from_29286400_100m_accurate_ppo_BiomechanicsHumanJoystickStandard_20260625_0018_100m_seed7_rew_758p4744_best_1029p5856_s,lateral,abdomen_x,-0.2389040397669887,0.46965190753142816,0.4815017212241938,0.016,0.05927079645070819,10.75688462764141,4.297363316504427
P05_v16_standard_bvh,biomechanics_noerfi_nodr_ref_bvh_v10_standard_resume3_from_29286400_100m_accurate_ppo_BiomechanicsHumanJoystickStandard_20260625_0018_100m_seed7_rew_758p4744_best_1029p5856_s,stand,abdomen_x,-0.3909459797227755,0.3954693030649796,0.11213147486131822,0.0,0.018762731559468674,3.3886577047693307,0.1441646052169926
P05_v16_standard_bvh,biomechanics_noerfi_nodr_ref_bvh_v10_standard_resume3_from_29286400_100m_accurate_ppo_BiomechanicsHumanJoystickStandard_20260625_0018_100m_seed7_rew_758p4744_best_1029p5856_s,turn,abdomen_x,-0.10081034676294075,0.41226531449967296,0.47913251022204334,0.003,0.10072197316145595,18.196761302602212,9.095311247475912
P06_auto_xml_standard_sine,biomechanics_noerfi_nodr_ref_sine_trajectory_sine_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_2321_60m_seed7_rew_714p9127_best_714p9127_s,diagonal,abdomen_x,0.0002670904333353974,0.26771476446796444,0.33342618247310984,0.003,0.07171808514267612,12.906611089349353,1.7628665170708495
P06_auto_xml_standard_sine,biomechanics_noerfi_nodr_ref_sine_trajectory_sine_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_2321_60m_seed7_rew_714p9127_best_714p9127_s,forward,abdomen_x,0.05139799055823823,0.21741142612294062,0.2605241903809149,0.0,0.03531387193777578,6.371075243053632,0.5194043928532112
P06_auto_xml_standard_sine,biomechanics_noerfi_nodr_ref_sine_trajectory_sine_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_2321_60m_seed7_rew_714p9127_best_714p9127_s,forward_slow,abdomen_x,0.20475071856263094,0.25196014138520695,0.2152025411267634,0.0,0.024149355553489325,4.351017506418041,0.23725295820895786
P06_auto_xml_standard_sine,biomechanics_noerfi_nodr_ref_sine_trajectory_sine_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_2321_60m_seed7_rew_714p9127_best_714p9127_s,lateral,abdomen_x,0.254356688402826,0.3189508822269272,0.25769431533263926,0.0,0.08484600814144527,15.241780263856104,2.171406156059164
P06_auto_xml_standard_sine,biomechanics_noerfi_nodr_ref_sine_trajectory_sine_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_2321_60m_seed7_rew_714p9127_best_714p9127_s,stand,abdomen_x,0.20847754760272802,0.27991177851287646,0.2392329426526274,0.0,0.010569276820780855,1.9096139041356277,0.05000101271082481
P06_auto_xml_standard_sine,biomechanics_noerfi_nodr_ref_sine_trajectory_sine_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_2321_60m_seed7_rew_714p9127_best_714p9127_s,turn,abdomen_x,-0.02834847015235573,0.28636200436693615,0.33328199521533763,0.0,0.08876861036757985,15.948250196587198,2.171362098302164
P07_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_stylev1_trajectory_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_2241_70m_seed7_running,diagonal,abdomen_x,-0.12818013759260066,0.35870366445253604,0.41959612164511806,0.0,0.09981963825987135,17.971004501794493,3.3780929061311027
